Source,Target,TE,Weight,Normalized
58658349,3111226033,0.033702439419605296,0,0.24200414405133605
58658349,3301926908,0.033702439419605296,0,0.24200414405133605
58658349,128128069,0.04479218141352338,0,0.3216352795182575
58658349,20207761,0.006803462311692332,0,0.04885302374785515
58658349,884130463878529024,0.021223293692828753,0,0.15239623933854973
58658349,154902138,0.01180655946486342,0,0.08477832366708055
58658349,1358718719577489410,0.024599574591531864,0,0.17664000278827247
58658349,239666710,0.045493347947287134,0,0.32667008440962775
58658349,1104740466,0.017985496367372632,0,0.12914687270953049
58658349,763336831295328256,0.03802232501289092,0,0.2730235667817465
58658349,25144145,0.02234041530461192,0,0.1604178562931838
58658349,18454808,0.031229108361589826,0,0.2242441131467948
58658349,250402748,0.014250006746439404,0,0.10232377076514361
58658349,314024592,0.07516104650670298,1,0.5397023194492055
58658349,22653760,0.0017381501157758927,0,0.012480981740341983
58658349,1403131600653590528,0.008669143300929927,0,0.06224975522037423
58658349,14957366,0.06259757454213331,1,0.4494889007335865
58658349,1136055528273133569,0.0347708807773187,0,0.24967620698491902
58658349,179261808,0.01640392051339074,0,0.11779019000683871
58658349,1318962022143254530,0.006119843569618795,0,0.04394422274169655
58658349,125177569,0.004500086857934468,0,0.0323133781104754
58658349,1877444256,0.06390564380881071,1,0.4588816387280349
58658349,1148457028920078336,0.010342627525542908,0,0.07426639628064384
58658349,262675787,0.0029348067405927537,0,0.021073708771362245
58658349,16309969,0.0,0,0.0
58658349,958321766,0.015308838962784064,0,0.10992683418201332
58658349,48817182,0.03439892867481533,0,0.24700536321976238
58658349,126075164,0.010373541023990105,0,0.07448837412142276
58658349,3245582817,0.012759062587471812,0,0.09161787910765727
58658349,922902086194311168,0.007356758263497955,0,0.052826027350256016
58658349,400472437,0.003942807889669465,0,0.028311774011920716
58658349,1163887880,0.031149653318481466,0,0.22367357730342155
58658349,484265155,0.0035758072556246016,0,0.02567648482105404
58658349,151543424,0.01113288104103507,0,0.07994090023031906
58658349,326890702,0.011392691649841859,0,0.08180649942973985
58658349,38833974,0.011643304370135553,0,0.08360605215967581
58658349,50361094,0.01994765746410874,0,0.14323639040866248
58658349,74912769,0.01994765746410874,0,0.14323639040866248
58658349,20295438,0.03497499203889023,0,0.2511418507780244
58658349,20453796,0.023454060131330952,0,0.1684145078029425
58658349,1471594463722041344,0.013566049275276241,0,0.0974125374767879
58658349,587575999,0.000912934612643062,0,0.006555429319427873
58658349,170554164,0.02464181115722936,0,0.17694328718267582
58658349,4784417526,0.031500952203968195,0,0.22619611832871447
58658349,2493306794,0.012094328129140623,0,0.08684467881770176
58658349,1908515251,0.017352856340248603,0,0.1246041300804108
58658349,852163986644717568,0.004500695986657541,0,0.03231775202755034
58658349,1327793130,0.006150269565863045,0,0.044162700018261745
